x_min	y_min	x_max	y_max	object_count	assess
0	0	90	140	1585123	2.3333333333333
91	0	115	140	523615	3
116	0	192	140	907675	1.3333333333333
193	0	255	140	1605259	1.6666666666667
0	141	54	155	1470583	2.3333333333333
55	141	65	148	262197	2.3333333333333
66	141	104	152	1378116	2
105	141	123	165	618000	2
124	141	140	156	316912	2
141	141	152	165	1087757	1.3333333333333
153	141	193	166	1240603	1
194	141	217	166	422184	2
218	141	255	150	68529	3.3333333333333
55	149	65	152	1499162	2
218	151	255	152	465147	3.6666666666667
55	153	62	159	1632440	1.3333333333333
63	153	66	159	1097517	1.3333333333333
67	153	71	154	972556	1
72	153	77	157	802580	1
78	153	104	179	814936	1
218	153	255	153	649512	3.3333333333333
218	154	255	154	1356872	3.3333333333333
67	155	71	157	1120521	0.66666666666667
218	155	255	155	1166612	3
0	156	39	164	83641	3
40	156	44	158	811007	0.66666666666667
45	156	54	164	1266143	1.3333333333333
218	156	255	158	837046	2.6666666666667
124	157	140	160	901332	1.6666666666667
67	158	70	163	1087051	1.3333333333333
71	158	73	161	845042	1
74	158	77	161	1094862	0.66666666666667
40	159	44	164	802365	1
218	159	255	166	493895	2.6666666666667
55	160	66	163	1334986	1.6666666666667
124	161	131	165	1239282	1
132	161	135	165	1094660	1
136	161	140	165	921242	0.66666666666667
71	162	77	163	907149	1.3333333333333
55	164	64	179	906616	1.3333333333333
65	164	77	179	1010426	1.3333333333333
0	165	54	169	1100522	2.6666666666667
105	166	129	169	920837	2
130	166	132	168	365029	2
133	166	135	166	646362	2
136	166	137	169	1089484	1.3333333333333
138	166	142	168	1007538	0.66666666666667
143	166	152	179	841460	1.3333333333333
133	167	135	168	1492959	1.3333333333333
153	167	255	255	1476592	1.6666666666667
130	169	135	169	1020186	1.6666666666667
138	169	142	173	829839	0.66666666666667
0	170	54	179	903259	2.3333333333333
105	170	129	170	741774	3.3333333333333
130	170	131	173	1084702	1.3333333333333
132	170	134	171	1665607	1.3333333333333
135	170	137	171	809941	1.3333333333333
105	171	129	172	1140147	3.3333333333333
132	172	137	173	1007529	1.6666666666667
105	173	129	179	894264	2
130	174	142	179	862189	1
0	180	54	255	213989	2
55	180	104	255	66452	2
105	180	152	255	1317168	0.66666666666667
