boundary	object_count
ST_MakeEnvelope(-20037508.34, -20037508.34, -5792092.2545312, -5479006.1867188, 900913)	19970
ST_MakeEnvelope(-5792092.2545312, -20037508.34, -1878516.406875, 2035059.4407813, 900913)	523615
ST_MakeEnvelope(-1878516.406875, -20037508.34, 10175297.203906, 2035059.4407813, 900913)	907675
ST_MakeEnvelope(10175297.203906, -20037508.34, 14558502.153281, 2035059.4407813, 900913)	732288
ST_MakeEnvelope(14558502.153281, -20037508.34, 20037508.34, 2035059.4407813, 900913)	872971
ST_MakeEnvelope(-20037508.34, -5479006.1867188, -5792092.2545312, -626172.135625, 900913)	874546
ST_MakeEnvelope(-20037508.34, -626172.135625, -5792092.2545312, 2035059.4407813, 900913)	690607
ST_MakeEnvelope(-20037508.34, 2035059.4407813, -15654303.390625, 4383204.949375, 900913)	79256
ST_MakeEnvelope(-15654303.390625, 2035059.4407813, -12523442.7125, 4383204.949375, 900913)	779646
ST_MakeEnvelope(-12523442.7125, 2035059.4407813, -11427641.475156, 4383204.949375, 900913)	611681
ST_MakeEnvelope(-11427641.475156, 2035059.4407813, -9705668.1021875, 3287403.7120312, 900913)	262197
ST_MakeEnvelope(-9705668.1021875, 2035059.4407813, -3600489.7798437, 3130860.678125, 900913)	472817
ST_MakeEnvelope(-3600489.7798437, 2035059.4407813, -626172.135625, 5948635.2884375, 900913)	618000
ST_MakeEnvelope(-626172.135625, 2035059.4407813, 2035059.4407813, 4539747.9832813, 900913)	316912
ST_MakeEnvelope(2035059.4407813, 2035059.4407813, 3913575.8476562, 5948635.2884375, 900913)	1087757
ST_MakeEnvelope(3913575.8476562, 2035059.4407813, 5948635.2884375, 6105178.3223438, 900913)	772211
ST_MakeEnvelope(5948635.2884375, 2035059.4407813, 10331840.237813, 6105178.3223438, 900913)	468392
ST_MakeEnvelope(10331840.237813, 2035059.4407813, 14088873.051562, 6105178.3223438, 900913)	422184
ST_MakeEnvelope(14088873.051562, 2035059.4407813, 20037508.34, 3600489.7798438, 900913)	68529
ST_MakeEnvelope(-9705668.1021875, 3130860.678125, -3600489.7798437, 3913575.8476562, 900913)	905299
ST_MakeEnvelope(-11427641.475156, 3287403.7120312, -10331840.237813, 3913575.8476562, 900913)	1023027
ST_MakeEnvelope(-10331840.237813, 3287403.7120312, -9705668.1021875, 3913575.8476562, 900913)	476135
ST_MakeEnvelope(14088873.051562, 3600489.7798438, 20037508.34, 3913575.8476562, 900913)	465147
ST_MakeEnvelope(-11427641.475156, 3913575.8476562, -10175297.203906, 4539747.9832813, 900913)	1045996
ST_MakeEnvelope(-10175297.203906, 3913575.8476562, -9549125.0682813, 4383204.949375, 900913)	462162
ST_MakeEnvelope(-9549125.0682813, 3913575.8476562, -8766409.89875, 4226661.9154687, 900913)	972556
ST_MakeEnvelope(-8766409.89875, 3913575.8476562, -7827151.6953125, 4696291.0171875, 900913)	802580
ST_MakeEnvelope(-7827151.6953125, 3913575.8476562, -3600489.7798437, 8140237.763125, 900913)	814936
ST_MakeEnvelope(14088873.051562, 3913575.8476562, 20037508.34, 4070118.8815625, 900913)	649512
ST_MakeEnvelope(14088873.051562, 4070118.8815625, 14715045.187187, 4226661.9154687, 900913)	66376
ST_MakeEnvelope(14715045.187187, 4070118.8815625, 14871588.221094, 4226661.9154687, 900913)	229633
ST_MakeEnvelope(14871588.221094, 4070118.8815625, 15028131.255, 4226661.9154687, 900913)	134076
ST_MakeEnvelope(15028131.255, 4070118.8815625, 15967389.458437, 4226661.9154687, 900913)	926787
ST_MakeEnvelope(15967389.458437, 4070118.8815625, 20037508.34, 4226661.9154687, 900913)	0
ST_MakeEnvelope(-9549125.0682813, 4226661.9154687, -8766409.89875, 4696291.0171875, 900913)	1120521
ST_MakeEnvelope(14088873.051562, 4226661.9154687, 20037508.34, 4383204.949375, 900913)	1166612
ST_MakeEnvelope(-20037508.34, 4383204.949375, -13775786.98375, 5792092.2545312, 900913)	83641
ST_MakeEnvelope(-13775786.98375, 4383204.949375, -12993071.814219, 4852834.0510937, 900913)	811007
ST_MakeEnvelope(-12993071.814219, 4383204.949375, -11427641.475156, 5009377.085, 900913)	847595
ST_MakeEnvelope(-10175297.203906, 4383204.949375, -9549125.0682813, 5009377.085, 900913)	635355
ST_MakeEnvelope(14088873.051562, 4383204.949375, 20037508.34, 4852834.0510937, 900913)	837046
ST_MakeEnvelope(-11427641.475156, 4539747.9832813, -10175297.203906, 5009377.085, 900913)	586444
ST_MakeEnvelope(-626172.135625, 4539747.9832813, 2035059.4407813, 5165920.1189062, 900913)	901332
ST_MakeEnvelope(-9549125.0682813, 4696291.0171875, -8922952.9326562, 5165920.1189062, 900913)	653747
ST_MakeEnvelope(-8922952.9326562, 4696291.0171875, -8453323.8309375, 5322463.1528125, 900913)	845042
ST_MakeEnvelope(-8453323.8309375, 4696291.0171875, -7827151.6953125, 5009377.085, 900913)	470030
ST_MakeEnvelope(-13775786.98375, 4852834.0510937, -12993071.814219, 5792092.2545312, 900913)	802365
ST_MakeEnvelope(14088873.051562, 4852834.0510937, 20037508.34, 6105178.3223438, 900913)	493895
ST_MakeEnvelope(-12993071.814219, 5009377.085, -11427641.475156, 5792092.2545312, 900913)	418548
ST_MakeEnvelope(-11427641.475156, 5009377.085, -10644926.305625, 5635549.220625, 900913)	239273
ST_MakeEnvelope(-10644926.305625, 5009377.085, -10018754.17, 5635549.220625, 900913)	618333
ST_MakeEnvelope(-10018754.17, 5009377.085, -9549125.0682813, 5635549.220625, 900913)	477380
ST_MakeEnvelope(-8453323.8309375, 5009377.085, -7827151.6953125, 5322463.1528125, 900913)	624832
ST_MakeEnvelope(-9549125.0682813, 5165920.1189062, -8922952.9326562, 5635549.220625, 900913)	433304
ST_MakeEnvelope(-626172.135625, 5165920.1189062, 0, 5948635.2884375, 900913)	399306
ST_MakeEnvelope(0, 5165920.1189062, 626172.135625, 5948635.2884375, 900913)	839976
ST_MakeEnvelope(626172.135625, 5165920.1189062, 1252344.27125, 5635549.220625, 900913)	383539
ST_MakeEnvelope(1252344.27125, 5165920.1189062, 2035059.4407813, 5948635.2884375, 900913)	921242
ST_MakeEnvelope(-8922952.9326562, 5322463.1528125, -7827151.6953125, 5635549.220625, 900913)	907149
ST_MakeEnvelope(-11427641.475156, 5635549.220625, -9862211.1360938, 8140237.763125, 900913)	906616
ST_MakeEnvelope(-9862211.1360938, 5635549.220625, -7827151.6953125, 8140237.763125, 900913)	1010426
ST_MakeEnvelope(626172.135625, 5635549.220625, 1252344.27125, 5948635.2884375, 900913)	711121
ST_MakeEnvelope(-20037508.34, 5792092.2545312, -11427641.475156, 6574807.4240625, 900913)	1100522
ST_MakeEnvelope(-3600489.7798437, 5948635.2884375, 313086.0678125, 6574807.4240625, 900913)	920837
ST_MakeEnvelope(313086.0678125, 5948635.2884375, 782715.16953125, 6418264.3901563, 900913)	365029
ST_MakeEnvelope(782715.16953125, 5948635.2884375, 1252344.27125, 6105178.3223438, 900913)	646362
ST_MakeEnvelope(1252344.27125, 5948635.2884375, 1565430.3390625, 6418264.3901563, 900913)	866137
ST_MakeEnvelope(1565430.3390625, 5948635.2884375, 2348145.5085937, 6418264.3901563, 900913)	1007538
ST_MakeEnvelope(2348145.5085937, 5948635.2884375, 3913575.8476562, 8140237.763125, 900913)	841460
ST_MakeEnvelope(782715.16953125, 6105178.3223438, 1252344.27125, 6261721.35625, 900913)	753223
ST_MakeEnvelope(3913575.8476562, 6105178.3223438, 5792092.2545312, 20037508.34, 900913)	830046
ST_MakeEnvelope(5792092.2545312, 6105178.3223438, 8766409.89875, 20037508.34, 900913)	421957
ST_MakeEnvelope(8766409.89875, 6105178.3223438, 20037508.34, 20037508.34, 900913)	224589
ST_MakeEnvelope(782715.16953125, 6261721.35625, 1252344.27125, 6418264.3901563, 900913)	739736
ST_MakeEnvelope(313086.0678125, 6418264.3901563, 1252344.27125, 6574807.4240625, 900913)	1020186
ST_MakeEnvelope(1252344.27125, 6418264.3901563, 1565430.3390625, 6574807.4240625, 900913)	223347
ST_MakeEnvelope(1565430.3390625, 6418264.3901563, 2348145.5085937, 7200979.5596875, 900913)	829839
ST_MakeEnvelope(-20037508.34, 6574807.4240625, -11427641.475156, 8140237.763125, 900913)	903259
ST_MakeEnvelope(-3600489.7798437, 6574807.4240625, 313086.0678125, 6731350.4579687, 900913)	741774
